donation_id,company_id,company_name,candidate_name,race,party,state,amount,year(raw),year,house,senate,dem,rep,northeast,midwest,south,west,is_after_2016
1,C00428623,Google Inc,"Adler, John H",House,D,NJ,1000,2010,0,1,0,1,0,1,0,0,0,0
2,C00428623,Google Inc,"Altmire, Jason",House,D,PA,2000,2010,0,1,0,1,0,1,0,0,0,0
3,C00428623,Google Inc,"Becerra, Xavier",House,D,CA,1000,2010,0,1,0,1,0,0,0,0,1,0
4,C00428623,Google Inc,"Berman, Howard L",House,D,CA,3500,2010,0,1,0,1,0,0,0,0,1,0
5,C00428623,Google Inc,"Boehner, John",House,R,OH,10000,2010,0,1,0,0,1,0,1,0,0,0
6,C00428623,Google Inc,"Bono Mack, Mary",House,R,CA,1000,2010,0,1,0,0,1,0,0,0,1,0
7,C00428623,Google Inc,"Boucher, Rick",House,D,VA,10000,2010,0,1,0,1,0,0,0,1,0,0
8,C00428623,Google Inc,"Camp, Dave",House,R,MI,2000,2010,0,1,0,0,1,0,1,0,0,0
9,C00428623,Google Inc,"Cantor, Eric",House,R,VA,10000,2010,0,1,0,0,1,0,0,1,0,0
10,C00428623,Google Inc,"Chaffetz, Jason",House,R,UT,1000,2010,0,1,0,0,1,0,0,0,1,0
11,C00428623,Google Inc,"Chu, Judy",House,D,CA,1000,2010,0,1,0,1,0,0,0,0,1,0
12,C00428623,Google Inc,"Clyburn, James E",House,D,SC,5000,2010,0,1,0,1,0,0,0,1,0,0
13,C00428623,Google Inc,"Conyers, John Jr",House,D,MI,7500,2010,0,1,0,1,0,0,1,0,0,0
14,C00428623,Google Inc,"Crowley, Joseph",House,D,NY,2000,2010,0,1,0,1,0,1,0,0,0,0
15,C00428623,Google Inc,"Davis, Danny K",House,D,IL,1000,2010,0,1,0,1,0,0,1,0,0,0
16,C00428623,Google Inc,"Dingell, John D",House,D,MI,2000,2010,0,1,0,1,0,0,1,0,0,0
17,C00428623,Google Inc,"Doyle, Mike",House,D,PA,3000,2010,0,1,0,1,0,1,0,0,0,0
18,C00428623,Google Inc,"Dreier, David",House,R,CA,4000,2010,0,1,0,0,1,0,0,0,1,0
19,C00428623,Google Inc,"Eshoo, Anna",House,D,CA,9500,2010,0,1,0,1,0,0,0,0,1,0
20,C00428623,Google Inc,"Goodlatte, Bob",House,R,VA,5000,2010,0,1,0,0,1,0,0,1,0,0
21,C00428623,Google Inc,"Gordon, Bart",House,D,TN,2000,2010,0,1,0,1,0,0,0,1,0,0
22,C00428623,Google Inc,"Heinrich, Martin",House,D,NM,1000,2010,0,1,0,1,0,0,0,0,1,0
23,C00428623,Google Inc,"Honda, Mike",House,D,CA,1000,2010,0,1,0,1,0,0,0,0,1,0
24,C00428623,Google Inc,"Hoyer, Steny H",House,D,MD,3500,2010,0,1,0,1,0,0,0,1,0,0
25,C00428623,Google Inc,"Inslee, Jay",House,D,WA,2000,2010,0,1,0,1,0,0,0,0,1,0
26,C00428623,Google Inc,"Issa, Darrell",House,R,CA,6000,2010,0,1,0,0,1,0,0,0,1,0
27,C00428623,Google Inc,"Johnson, Hank",House,D,GA,1000,2010,0,1,0,1,0,0,0,1,0,0
28,C00428623,Google Inc,"King, Steven A",House,R,IA,1000,2010,0,1,0,0,1,0,1,0,0,0
29,C00428623,Google Inc,"Larson, John B",House,D,CT,0,2010,0,1,0,1,0,1,0,0,0,0
30,C00428623,Google Inc,"Latta, Robert E",House,R,OH,1000,2010,0,1,0,0,1,0,1,0,0,0
31,C00428623,Google Inc,"Lee, Barbara",House,D,CA,1000,2010,0,1,0,1,0,0,0,0,1,0
32,C00428623,Google Inc,"Lewis, John",House,D,GA,1000,2010,0,1,0,1,0,0,0,1,0,0
33,C00428623,Google Inc,"Lofgren, Zoe",House,D,CA,7000,2010,0,1,0,1,0,0,0,0,1,0
34,C00428623,Google Inc,"Lungren, Dan",House,R,CA,3000,2010,0,1,0,0,1,0,0,0,1,0
35,C00428623,Google Inc,"Maffei, Dan",House,D,NY,1000,2010,0,1,0,1,0,1,0,0,0,0
36,C00428623,Google Inc,"Markey, Betsy",House,D,CO,1500,2010,0,1,0,1,0,0,0,0,1,0
37,C00428623,Google Inc,"Markey, Ed",House,D,MA,5000,2010,0,1,0,1,0,1,0,0,0,0
38,C00428623,Google Inc,"Matsui, Doris",House,D,CA,1000,2010,0,1,0,1,0,0,0,0,1,0
39,C00428623,Google Inc,"McCarthy, Kevin",House,R,CA,6000,2010,0,1,0,0,1,0,0,0,1,0
40,C00428623,Google Inc,"McHenry, Patrick",House,R,NC,1000,2010,0,1,0,0,1,0,0,1,0,0
